gene_id	kegg_pathway_id	kegg_pathway_name
OsMH63_01G002480	osa04141	Protein processing in endoplasmic reticulum - Oryza sativa japonica (Japanese rice)
OsMH63_01G002490	osa04141	Protein processing in endoplasmic reticulum - Oryza sativa japonica (Japanese rice)
OsMH63_01G002590	osa00051	Fructose and mannose metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G002590	osa00520	Amino sugar and nucleotide sugar metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G002590	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G002590	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G002590	osa01240	Biosynthesis of cofactors - Oryza sativa japonica (Japanese rice)
OsMH63_01G002590	osa01250	Biosynthesis of nucleotide sugars - Oryza sativa japonica (Japanese rice)
OsMH63_01G002820	osa00561	Glycerolipid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G002820	osa00564	Glycerophospholipid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G002820	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G002920	osa03250	Viral life cycle - HIV-1 - Oryza sativa japonica (Japanese rice)
OsMH63_01G002920	osa03272	Virion - Hepatitis viruses - Oryza sativa japonica (Japanese rice)
OsMH63_01G002920	osa04144	Endocytosis - Oryza sativa japonica (Japanese rice)
OsMH63_01G002930	osa03060	Protein export - Oryza sativa japonica (Japanese rice)
OsMH63_01G002950	osa03420	Nucleotide excision repair - Oryza sativa japonica (Japanese rice)
OsMH63_01G002950	osa04120	Ubiquitin mediated proteolysis - Oryza sativa japonica (Japanese rice)
OsMH63_01G003000	osa00561	Glycerolipid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G003000	osa00566	Sulfoquinovose metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G003000	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G003000	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G003160	osa03018	RNA degradation - Oryza sativa japonica (Japanese rice)
OsMH63_01G003170	osa00100	Steroid biosynthesis - Oryza sativa japonica (Japanese rice)
OsMH63_01G003170	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G003170	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G003270	osa04141	Protein processing in endoplasmic reticulum - Oryza sativa japonica (Japanese rice)
OsMH63_01G003280	osa04141	Protein processing in endoplasmic reticulum - Oryza sativa japonica (Japanese rice)
OsMH63_01G003440	osa00010	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice)
OsMH63_01G003440	osa00051	Fructose and mannose metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G003440	osa00562	Inositol phosphate metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G003440	osa00710	Carbon fixation by Calvin cycle - Oryza sativa japonica (Japanese rice)
OsMH63_01G003440	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G003440	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G003440	osa01200	Carbon metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G003440	osa01230	Biosynthesis of amino acids - Oryza sativa japonica (Japanese rice)
OsMH63_01G003560	osa00561	Glycerolipid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G003560	osa00564	Glycerophospholipid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G003560	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G003620	osa00062	Fatty acid elongation - Oryza sativa japonica (Japanese rice)
OsMH63_01G003620	osa01040	Biosynthesis of unsaturated fatty acids - Oryza sativa japonica (Japanese rice)
OsMH63_01G003620	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G003620	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G003620	osa01212	Fatty acid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G003680	osa03060	Protein export - Oryza sativa japonica (Japanese rice)
OsMH63_01G003780	osa03250	Viral life cycle - HIV-1 - Oryza sativa japonica (Japanese rice)
OsMH63_01G003780	osa03272	Virion - Hepatitis viruses - Oryza sativa japonica (Japanese rice)
OsMH63_01G003780	osa04144	Endocytosis - Oryza sativa japonica (Japanese rice)
OsMH63_01G003830	osa00561	Glycerolipid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G003830	osa00566	Sulfoquinovose metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G003830	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G003830	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G003960	osa03018	RNA degradation - Oryza sativa japonica (Japanese rice)
OsMH63_01G004040	osa03040	Spliceosome - Oryza sativa japonica (Japanese rice)
OsMH63_01G004190	osa03013	Nucleocytoplasmic transport - Oryza sativa japonica (Japanese rice)
OsMH63_01G004320	osa00071	Fatty acid degradation - Oryza sativa japonica (Japanese rice)
OsMH63_01G004320	osa00410	beta-Alanine metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G004320	osa00592	alpha-Linolenic acid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G004320	osa00640	Propanoate metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G004320	osa01040	Biosynthesis of unsaturated fatty acids - Oryza sativa japonica (Japanese rice)
OsMH63_01G004320	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G004320	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G004320	osa01200	Carbon metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G004320	osa01212	Fatty acid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G004320	osa04146	Peroxisome - Oryza sativa japonica (Japanese rice)
OsMH63_01G004360	osa00010	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice)
OsMH63_01G004360	osa00051	Fructose and mannose metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G004360	osa00562	Inositol phosphate metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G004360	osa00710	Carbon fixation by Calvin cycle - Oryza sativa japonica (Japanese rice)
OsMH63_01G004360	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G004360	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G004360	osa01200	Carbon metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G004360	osa01230	Biosynthesis of amino acids - Oryza sativa japonica (Japanese rice)
OsMH63_01G004550	osa00062	Fatty acid elongation - Oryza sativa japonica (Japanese rice)
OsMH63_01G004550	osa01040	Biosynthesis of unsaturated fatty acids - Oryza sativa japonica (Japanese rice)
OsMH63_01G004550	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G004550	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G004550	osa01212	Fatty acid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G004600	osa00062	Fatty acid elongation - Oryza sativa japonica (Japanese rice)
OsMH63_01G004600	osa01040	Biosynthesis of unsaturated fatty acids - Oryza sativa japonica (Japanese rice)
OsMH63_01G004600	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G004600	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G004600	osa01212	Fatty acid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G004620	osa00062	Fatty acid elongation - Oryza sativa japonica (Japanese rice)
OsMH63_01G004620	osa01040	Biosynthesis of unsaturated fatty acids - Oryza sativa japonica (Japanese rice)
OsMH63_01G004620	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G004620	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G004620	osa01212	Fatty acid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G004640	osa00062	Fatty acid elongation - Oryza sativa japonica (Japanese rice)
OsMH63_01G004640	osa01040	Biosynthesis of unsaturated fatty acids - Oryza sativa japonica (Japanese rice)
OsMH63_01G004640	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G004640	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G004640	osa01212	Fatty acid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G004670	osa00062	Fatty acid elongation - Oryza sativa japonica (Japanese rice)
OsMH63_01G004670	osa01040	Biosynthesis of unsaturated fatty acids - Oryza sativa japonica (Japanese rice)
OsMH63_01G004670	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G004670	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G004670	osa01212	Fatty acid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G004690	osa03060	Protein export - Oryza sativa japonica (Japanese rice)
OsMH63_01G004700	osa03440	Homologous recombination - Oryza sativa japonica (Japanese rice)
OsMH63_01G004700	osa03460	Fanconi anemia pathway - Oryza sativa japonica (Japanese rice)
OsMH63_01G004710	osa00430	Taurine and hypotaurine metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G004710	osa00460	Cyanoamino acid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G004710	osa00480	Glutathione metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G004710	osa00590	Arachidonic acid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G004710	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G004830	osa00600	Sphingolipid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G004830	osa04142	Lysosome biogenesis - Oryza sativa japonica (Japanese rice)
OsMH63_01G005060	osa00380	Tryptophan metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G005060	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G005060	osa04075	Plant hormone signal transduction - Oryza sativa japonica (Japanese rice)
OsMH63_01G005120	osa03040	Spliceosome - Oryza sativa japonica (Japanese rice)
OsMH63_01G005280	osa03040	Spliceosome - Oryza sativa japonica (Japanese rice)
OsMH63_01G005300	osa00564	Glycerophospholipid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G005300	osa00565	Ether lipid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G005300	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G005300	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G005300	osa03013	Nucleocytoplasmic transport - Oryza sativa japonica (Japanese rice)
OsMH63_01G005300	osa04144	Endocytosis - Oryza sativa japonica (Japanese rice)
OsMH63_01G005340	osa00970	Aminoacyl-tRNA biosynthesis - Oryza sativa japonica (Japanese rice)
OsMH63_01G005410	osa00541	Biosynthesis of various nucleotide sugars - Oryza sativa japonica (Japanese rice)
OsMH63_01G005450	osa00071	Fatty acid degradation - Oryza sativa japonica (Japanese rice)
OsMH63_01G005450	osa00410	beta-Alanine metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G005450	osa00564	Glycerophospholipid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G005450	osa00592	alpha-Linolenic acid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G005450	osa00640	Propanoate metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G005450	osa01040	Biosynthesis of unsaturated fatty acids - Oryza sativa japonica (Japanese rice)
OsMH63_01G005450	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G005450	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G005450	osa01200	Carbon metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G005450	osa01212	Fatty acid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G005450	osa04146	Peroxisome - Oryza sativa japonica (Japanese rice)
OsMH63_01G005530	osa00010	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice)
OsMH63_01G005530	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G005530	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G005680	osa02010	ABC transporters - Oryza sativa japonica (Japanese rice)
OsMH63_01G005690	osa00270	Cysteine and methionine metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G005690	osa00380	Tryptophan metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G005690	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G005740	osa04075	Plant hormone signal transduction - Oryza sativa japonica (Japanese rice)
OsMH63_01G005790	osa04130	SNARE interactions in vesicular transport - Oryza sativa japonica (Japanese rice)
OsMH63_01G005900	osa03430	Mismatch repair - Oryza sativa japonica (Japanese rice)
OsMH63_01G005930	osa03015	mRNA surveillance pathway - Oryza sativa japonica (Japanese rice)
OsMH63_01G005930	osa03040	Spliceosome - Oryza sativa japonica (Japanese rice)
OsMH63_01G005950	osa03060	Protein export - Oryza sativa japonica (Japanese rice)
OsMH63_01G005970	osa03440	Homologous recombination - Oryza sativa japonica (Japanese rice)
OsMH63_01G005970	osa03460	Fanconi anemia pathway - Oryza sativa japonica (Japanese rice)
OsMH63_01G006050	osa04712	Circadian rhythm - plant - Oryza sativa japonica (Japanese rice)
OsMH63_01G006100	osa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Oryza sativa japonica (Japanese rice)
OsMH63_01G006100	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G006120	osa03020	RNA polymerase - Oryza sativa japonica (Japanese rice)
OsMH63_01G006130	osa00600	Sphingolipid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G006130	osa04142	Lysosome biogenesis - Oryza sativa japonica (Japanese rice)
OsMH63_01G006190	osa04141	Protein processing in endoplasmic reticulum - Oryza sativa japonica (Japanese rice)
OsMH63_01G006280	osa00970	Aminoacyl-tRNA biosynthesis - Oryza sativa japonica (Japanese rice)
