gene_id	DS_osbzip23_rep1	DS_osbzip23_rep2	DS_WT_rep1	DS_WT_rep2	N_WT_rep1	N_WT_rep2	RE_WT_rep1	RE_WT_rep2
OsMH_01G0048700	0	0	351	382	258	271	217	185
OsMH_01G0049300	0	0	4354	4292	2320	2025	2715	2530
OsMH_01G0049500	0	0	2192	2384	1843	1733	1545	1457
OsMH_01G0049700	0	0	3575	4060	3626	3000	2213	2199
OsMH_01G0049800	0	7	631	555	916	683	575	577
OsMH_01G0049900	0	0	408	341	247	212	93	113
OsMH_01G0050000	0	0	2002	1999	766	565	694	711
OsMH_01G0050200	0	3	1492	1439	1599	1471	1817	1883
OsMH_01G0050300	0	0	1	2	25	15	75	93
OsMH_01G0050400	0	0	13	5	16	10	17	2
OsMH_01G0050500	0	0	1015	955	755	567	489	486
OsMH_01G0050600	0	0	55	54	28	24	17	30
OsMH_01G0050700	0	0	6	4	0	2	3	1
OsMH_01G0050800	0	0	18	11	5	2	2	9
OsMH_01G0050900	0	0	3	7	0	9	3	5
OsMH_01G0051000	0	0	7	3	0	0	0	0
OsMH_01G0051100	0	0	13	10	4	6	2	3
OsMH_01G0051200	0	0	5869	5860	4595	4004	3413	3687
OsMH_01G0051400	0	1	179	162	166	106	136	153
OsMH_01G0051600	0	0	14	9	35	17	5	11
OsMH_01G0051700	574	1148	18	29	32	40	30	29
OsMH_01G0051800	1305	1450	61	186	142	9	140	142
OsMH_01G0052200	0	10	127	102	124	111	68	59
OsMH_01G0052300	0	2	38280	38427	18148	16082	15249	15626
OsMH_01G0052400	0	0	5	0	0	3	0	0
OsMH_01G0052500	0	0	152	195	157	110	86	104
OsMH_01G0052600	0	0	1277	1404	933	837	614	650
OsMH_01G0052700	0	8	10	14	15	7	0	9
OsMH_01G0052800	0	0	2	1	0	2	2	6
OsMH_01G0052900	0	0	840	837	612	515	431	429
OsMH_01G0053000	0	0	60	34	58	80	48	43
OsMH_01G0053400	639	595	83397	88345	12784	11153	11963	12906
OsMH_01G0053600	84	181	1476	1434	3806	3365	4518	4429
OsMH_01G0053700	193	352	876	922	1565	1423	1279	1281
OsMH_01G0053800	0	0	2	1	0	0	3	2
OsMH_01G0053900	0	0	6	9	9	22	12	13
OsMH_01G0054000	0	0	1	2	0	0	0	0
OsMH_01G0054100	0	0	75	67	174	206	262	293
OsMH_01G0054200	0	0	30	26	98	117	78	86
OsMH_01G0054300	0	0	272	248	826	726	770	748
OsMH_01G0054400	0	2	1123	869	2280	1983	1676	1754
OsMH_01G0054500	0	0	183	160	23	50	25	14
OsMH_01G0054600	0	0	38	27	41	36	25	44
OsMH_01G0054700	0	0	36	48	69	61	66	63
OsMH_01G0054800	0	0	4	0	0	0	0	0
OsMH_01G0054900	0	0	2	0	0	0	4	2
OsMH_01G0055000	0	2	618	558	565	487	646	667
OsMH_01G0055100	0	0	62	65	47	39	46	35
OsMH_01G0055200	0	0	1639	1543	1967	1765	1860	1935
OsMH_01G0055300	0	0	1487	1525	1043	827	1031	1068
OsMH_01G0055400	214	431	485	591	277	224	226	232
OsMH_01G0055600	0	0	5	3	2	2	0	2
OsMH_01G0055900	696	1054	61	45	27	19	19	18
OsMH_01G0056000	0	0	2367	2676	2466	2233	2231	2400
OsMH_01G0056100	70	89	13	0	0	0	2	8
OsMH_01G0056300	0	0	2349	2425	2912	2492	2578	2815
OsMH_01G0021000	31	44	34	38	51	56	32	43
OsMH_01G0022100	8	14	1486	1549	672	633	513	593
OsMH_01G0022200	382	415	103	147	146	141	41	56
OsMH_01G0022300	3568	3311	23	9	9	7	12	13
OsMH_01G0022400	1470	1691	785	864	354	325	239	252
OsMH_01G0022500	6684	7656	9	1	0	2	0	2
OsMH_01G0023400	17	11	1024	574	359	288	312	290
OsMH_01G0023500	106	92	3180	4007	1741	1640	1341	1235
OsMH_01G0023700	1389	1758	111	128	391	295	275	222
OsMH_01G0023800	5	12	811	708	815	807	604	620
OsMH_01G0024900	539	589	618	589	525	526	379	312
OsMH_01G0025100	8	0	27	27	19	22	16	13
OsMH_01G0025200	696	532	969	883	723	789	447	459
OsMH_01G0025300	641	1256	0	0	0	0	0	0
OsMH_01G0025700	688	769	0	0	0	0	0	0
OsMH_01G0025900	70	65	0	0	0	0	0	0
OsMH_01G0026000	20	36	0	0	0	0	0	0
OsMH_01G0026100	2558	3643	0	0	0	4	4	0
OsMH_01G0026200	44	55	0	0	0	0	0	0
OsMH_01G0026400	11	2	0	0	19	0	0	0
OsMH_01G0026600	238	242	6	18	258	266	140	193
OsMH_01G0027400	405	471	0	0	2	0	0	0
OsMH_01G0027500	166	206	0	0	0	0	0	0
